BRAND,TOT_SALES
Kettle,390239.8
Smiths,210070.80000000002
Doritos,201538.90000000002
Pringles,177655.5
Old,90785.09999999999
Thins,88852.5
Twisties,81522.09999999999
Tostitos,79789.6
Infuzions,76247.59999999999
Cobs,70569.8
RRD,64954.5
Tyrrells,51647.4
Grain,43048.8
Cheezels,40029.9
Dorito,39052.0
WW,35889.5
Natural,34272.0
Red,30091.500000000004
Infzns,22800.0
CCs,18078.9
Cheetos,16884.5
Smith,14583.4
Woolworths,13454.1
GrnWves,8568.4
NCC,8046.0
French,7929.0
Burger,6830.999999999999
Snbts,5076.2
Sunbites,4600.2
